id,first_name,player_name,dateofbirth,gender,batting_hand,bowling_type,role,country_id,country,image,Test,ODI,T20,ipl_team,retired,player_image
25,Aaron,Aaron Finch,17-11-1986,m,right-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,5,146,103,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/AARON_FINCH_%286299558883%29.jpg/500px-AARON_FINCH_%286299558883%29.jpg
26,Travis,Travis Head,29-12-1993,m,left-hand-bat,right-arm-offbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,49,69,38,KKR,n,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Travis_Head_bowling_at_Perth_Stadium%2C_First_Test_Australia_versus_West_Indies%2C_2_December_2022_03_%28cropped%29.jpg/500px-Travis_Head_bowling_at_Perth_Stadium%2C_First_Test_Australia_versus_West_Indies%2C_2_December_2022_03_%28cropped%29.jpg
28,Usman,Usman Khawaja,18-12-1986,m,left-hand-bat,right-arm-fast,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,73,40,9,RPS,y,https://upload.wikimedia.org/wikipedia/commons/e/ef/2018.01.05.17.43.25-Usman_Khawaja_%26_Steve_Smith_%2838876757994%29_%28Khawaja_cropped%29.jpg
29,Marnus,Marnus Labuschagne,22-06-1994,m,right-hand-bat,legbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,61,66,1,NA,n,https://upload.wikimedia.org/wikipedia/commons/5/53/Day_4_of_the_3rd_Test_of_the_2019_Ashes_at_Headingley_%2848631113862%29_%28Marnus_Labuschagne_cropped%29.jpg
30,Nathan,Nathan Lyon,20-11-1987,m,right-hand-bat,right-arm-offbreak,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,141,29,2,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Nathan_Lyon_%281%29.jpg/500px-Nathan_Lyon_%281%29.jpg
31,Mitchell,Mitchell Marsh,20-10-1991,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,46,99,81,LSG,n,https://upload.wikimedia.org/wikipedia/commons/7/73/Mitchell_Marsh.jpg
32,Shaun,Shaun Marsh,09-07-1983,m,left-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,38,73,15,PBKS,y,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Shaun_Marsh.jpg/500px-Shaun_Marsh.jpg
33,Michael,Michael Neser,29-03-1990,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,3,4,0,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/20251224_Michael_Neser_01.jpg/500px-20251224_Michael_Neser_01.jpg
34,Matt,Matt Renshaw,28-03-1996,m,left-hand-bat,right-arm-offbreak,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,14,3,0,NA,n,https://upload.wikimedia.org/wikipedia/commons/3/3b/2_23_Renshaw_hundred_%28cropped%29.jpg
35,Peter,Peter Siddle,25-11-1984,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,67,20,2,NA,y,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/2_19_Peter_Siddle.jpg/500px-2_19_Peter_Siddle.jpg
36,Mitchell,Mitchell Starc,30-01-1990,m,left-hand-bat,left-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,93,123,66,DC,n,https://upload.wikimedia.org/wikipedia/commons/3/38/Mitchell_Starc_2023.jpg
37,Alex,Alex Carey,27-08-1991,m,left-hand-bat,does not bowl,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,30,80,39,DC,n,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Alex_Carey_wicket-keeping_Ashes_2021_%28cropped_2%29.jpg/500px-Alex_Carey_wicket-keeping_Ashes_2021_%28cropped_2%29.jpg
38,Nathan,Nathan Coulter-Nile,11-10-1987,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,32,28,RR,y,
39,Chris,Chris Lynn,10-04-1990,m,right-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,4,18,MI,y,https://upload.wikimedia.org/wikipedia/commons/e/ef/Brisbane_Heat_vs_Melbourne_Stars_T20_7_%28cropped%29.jpg
40,Glenn,Glenn Maxwell,14-10-1988,m,right-hand-bat,right-arm-offbreak,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,7,142,113,PBKS,n,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Glen_Maxwell_2026_%28cropped%29.jpg/500px-Glen_Maxwell_2026_%28cropped%29.jpg
41,D'Arcy,D'Arcy Short,09-08-1990,m,left-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,8,23,CSK,n,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/2018.02.03.20.04.13-AUSvNZL_T20_NZL_innings%2C_SCG_%2825557959457%29.jpg/500px-2018.02.03.20.04.13-AUSvNZL_T20_NZL_innings%2C_SCG_%2825557959457%29.jpg
43,Andrew,Andrew Tye,12-12-1986,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,7,32,LSG,y,https://upload.wikimedia.org/wikipedia/commons/a/af/2018.02.03.20.38.56-AUSvNZL_T20_NZL_innings%2C_SCG-0001_%2838618205890%29_%28Tye_cropped%29.jpg
44,Adam,Adam Zampa,31-03-1992,m,right-hand-bat,legbreak,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,104,91,SRH,n,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Adam_Zampa_2023.jpg/500px-Adam_Zampa_2023.jpg
190,Pat,Pat Cummins,08-05-1993,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,71,90,57,SRH,n,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg/500px-Pat_Cummins_fielding_Ashes_2021_%28cropped%29.jpg
191,Josh,Josh Hazlewood,08-01-1991,m,left-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,70,81,49,RCB,n,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/2018_Josh_Hazlewood_%28cropped%29.jpg/500px-2018_Josh_Hazlewood_%28cropped%29.jpg
194,Mitchell,Mitchell Swepson,04-10-1993,m,right-hand-bat,legbreak,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,4,3,8,NA,n,https://upload.wikimedia.org/wikipedia/commons/8/82/Mitchell_Swepson.png
195,Joe,Joe Burns,06-09-1989,m,right-hand-bat,right-arm-offbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,23,6,0,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/James_Franklin_and_Joe_Burns.jpg/500px-James_Franklin_and_Joe_Burns.jpg
198,Jhye,Jhye Richardson,20-09-1996,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,3,15,18,DC,n,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/20251224_Jhye_Richardson_01.jpg/500px-20251224_Jhye_Richardson_01.jpg
199,Marcus,Marcus Stoinis,16-08-1989,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,71,80,LSG,n,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg/500px-2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg
365,Ben,Ben Cutting,30-01-1987,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,4,7,MI,y,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Brisbane_Heat_vs_Melbourne_Stars_T20_15.jpg/500px-Brisbane_Heat_vs_Melbourne_Stars_T20_15.jpg
416,George,George Bailey,07-09-1982,m,right-hand-bat,right-arm-fast,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,5,90,30,PBKS,y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Jimmy_Stewart_as_George_Bailey_in_It%27s_A_Wonderful_Life.jpg/500px-Jimmy_Stewart_as_George_Bailey_in_It%27s_A_Wonderful_Life.jpg
419,James,James Faulkner,29-04-1990,m,right-hand-bat,left-arm-fast,Bowling Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,1,69,24,GL,y,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/James_Faulkner_2021.jpg/500px-James_Faulkner_2021.jpg
435,Cameron,Cameron White,18-08-1983,m,right-hand-bat,legbreak,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,4,91,47,SRH,y,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Cameron_White.jpg/500px-Cameron_White.jpg
436,Marcus,Marcus Harris,21-07-1992,m,left-hand-bat,does not bowl,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,14,0,0,NA,n,
437,Brad,Brad Hodge,29-12-1974,m,right-hand-bat,right-arm-offbreak,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,6,25,15,NA,y,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Brad_Hodge_2008.jpg/500px-Brad_Hodge_2008.jpg
438,Beau,Beau Webster,01-12-1993,m,right-hand-bat,right-arm-offbreak,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,7,0,0,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/2_10_Beau_Webster_mugshot.jpg/500px-2_10_Beau_Webster_mugshot.jpg
442,Daniel,Daniel Christian,04-05-1983,m,right-hand-bat,right-arm-fast,Bowling Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,20,23,RCB,y,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Christian_Daniel_en_Dulce_Osuna.jpg/500px-Christian_Daniel_en_Dulce_Osuna.jpg
446,Kane,Kane Richardson,12-02-1991,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,25,36,RCB,n,https://upload.wikimedia.org/wikipedia/commons/5/53/2018.02.03.19.21.13-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2840429045331%29_%28cropped%29.jpg
449,Brad,Brad Hogg,06-02-1971,m,left-hand-bat,slow-left-arm-orthodox,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,7,123,15,KKR,y,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/BradleyHogg_%28cropped%29.jpg/500px-BradleyHogg_%28cropped%29.jpg
454,Peter,Peter Handscomb,26-04-1991,m,right-hand-bat,does not bowl,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,20,22,2,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Peter_Handscomb_20251017.jpg/500px-Peter_Handscomb_20251017.jpg
458,Scott,Scott Boland,11-04-1989,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,14,14,3,RPS,n,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Scott_Boland_01_20251017.jpg/500px-Scott_Boland_01_20251017.jpg
460,Ben,Ben Hilfenhaus,15-03-1983,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,27,25,7,DC,y,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Ben_Hilfenhaus_2009.jpg/500px-Ben_Hilfenhaus_2009.jpg
615,Cameron,Cameron Bancroft,19-11-1992,m,right-hand-bat,does not bowl,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,10,0,2,NA,y,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/1_05_Bancroft_departs.jpg/500px-1_05_Bancroft_departs.jpg
617,Tim,Tim David,16-03-1996,m,right-hand-bat,right-arm-offbreak,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,22,47,RCB,n,
620,Ashton,Ashton Turner,25-01-1993,m,right-hand-bat,right-arm-offbreak,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,9,19,NA,n,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/ASHTON_TURNER_%2815520068750%29.jpg/500px-ASHTON_TURNER_%2815520068750%29.jpg
623,Josh,Josh Inglis,04-03-1995,m,right-hand-bat,does not bowl,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,18,25,PBKS,n,https://upload.wikimedia.org/wikipedia/commons/9/95/Josh_Inglis_The_Test_clip.png
624,Josh,Josh Philippe,01-06-1997,m,right-hand-bat,does not bowl,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,3,10,RCB,n,
626,Jason,Jason Behrendorff,20-04-1990,m,right-hand-bat,left-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,12,14,MI,n,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Jason_behrendorff.jpg/500px-Jason_behrendorff.jpg
627,Mitchell,Mitchell Johnson,02-11-1981,m,left-hand-bat,left-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,73,153,30,MI,y,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/MITCHELL_JOHNSON_%2811705174114%29_%28cropped%29.jpg/500px-MITCHELL_JOHNSON_%2811705174114%29_%28cropped%29.jpg
630,Cameron,Cameron Green,03-06-1999,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,29,24,8,RCB,n,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Cameron_Green_fielding_Boxing_Day_2022_%28cropped%29.jpg/500px-Cameron_Green_fielding_Boxing_Day_2022_%28cropped%29.jpg
738,David,David Warner,27-10-1986,m,left-hand-bat,legbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,120,167,108,DC,y,https://upload.wikimedia.org/wikipedia/commons/1/1d/David_Warner_%28Actor%29_Rory_Lewis_Photographer.jpg
765,Moises,Moises Henriques,01-02-1987,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,4,16,29,PBKS,y,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Moises_Henriques_with_the_Sydney_Sixers.jpg/500px-Moises_Henriques_with_the_Sydney_Sixers.jpg
768,Steven,Steven Smith,02-06-1989,m,right-hand-bat,legbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,114,163,67,DC,n,
787,Shane,Shane Watson,17-06-1981,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,59,190,58,CSK,y,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/SHANE_WATSON_%2811705862116%29.jpg/500px-SHANE_WATSON_%2811705862116%29.jpg
872,Sean,Sean Abbott,29-02-1992,m,right-hand-bat,right-arm-fast,Bowling Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,20,15,SRH,y,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Sean_Abbott_playing_for_the_Sydney_Sixers.jpg/500px-Sean_Abbott_playing_for_the_Sydney_Sixers.jpg
896,Steve,Steve O'Keefe,09-12-1984,m,right-hand-bat,slow-left-arm-orthodox,Bowling Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,9,0,7,NA,y,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stephen_O%27Keefe.jpg/500px-Stephen_O%27Keefe.jpg
902,Daniel,Daniel Sams,27-10-1992,m,right-hand-bat,left-arm-fast,Bowling Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,0,10,LSG,n,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Daniel_Sams_Batting.jpg/500px-Daniel_Sams_Batting.jpg
1238,Brad,Brad Haddin,23-10-1977,m,right-hand-bat,does not bowl,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,66,126,34,NA,y,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Brad_Haddin_playing_for_the_Sixers.jpg/500px-Brad_Haddin_playing_for_the_Sixers.jpg
1325,Shaun,Shaun Tait,22-02-1983,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,3,35,21,RR,y,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Shaun_Tait.jpg/500px-Shaun_Tait.jpg
1496,Ricky,Ricky Ponting,19-12-1974,m,right-hand-bat,right-arm-fast,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,168,375,17,MI,y,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Ricky_Ponting_2015.jpg/500px-Ricky_Ponting_2015.jpg
1505,Michael,Michael Clarke,02-04-1981,m,right-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,115,245,34,PWI,y,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/MClarkeDuncan021109-R106_%2850094589037%29.jpg/500px-MClarkeDuncan021109-R106_%2850094589037%29.jpg
1508,Adam,Adam Gilchrist,14-11-1971,m,left-hand-bat,right-arm-offbreak,Wicketkeeper,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,96,287,13,KXIP,y,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Adam_Gilchrist_of_Australia_%28cropped%29.jpg/500px-Adam_Gilchrist_of_Australia_%28cropped%29.jpg
1511,Matthew,Matthew Hayden,29-10-1971,m,left-hand-bat,right-arm-fast,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,103,161,9,CSK,y,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Matthew_Hayden_Image.jpg/500px-Matthew_Hayden_Image.jpg
1514,Glenn,Glenn McGrath,09-02-1970,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,124,250,2,DD,y,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Glenn_McGrath_Portrait%2C_2011%2C_jjron.jpg/500px-Glenn_McGrath_Portrait%2C_2011%2C_jjron.jpg
1517,Andrew,Andrew Symonds,09-06-1975,m,right-hand-bat,right-arm-fast,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,26,198,14,MI,y,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Andrew_symonds_%28cropped%29.jpg/500px-Andrew_symonds_%28cropped%29.jpg
1520,Michael,Michael Hussey,27-05-1975,m,left-hand-bat,right-arm-fast,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,79,185,38,CSK,y,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Michael_Hussey_2022.jpg/500px-Michael_Hussey_2022.jpg
2078,David,David Hussey,15-07-1977,m,right-hand-bat,right-arm-offbreak,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,69,39,CSK,y,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/David_Hussey_2.jpg/500px-David_Hussey_2.jpg
2084,Brett,Brett Lee,14-01-1983,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,76,221,25,KKR,y,https://upload.wikimedia.org/wikipedia/commons/9/9f/Brett_lee_closeup2.jpg
2666,Doug,Doug Bollinger,24-07-1981,m,left-hand-bat,left-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,12,39,9,CSK,y,https://upload.wikimedia.org/wikipedia/commons/4/41/Doug_Bollinger.jpg
2834,Dirk,Dirk Nannes,16-05-1976,m,right-hand-bat,left-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,1,17,CSK,y,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Dirk_nannes.jpg/500px-Dirk_nannes.jpg
2876,Aiden,Aiden Blizzard,27-06-1984,m,left-hand-bat,left-arm-fast,Middle Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,0,0,MI,y,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Aiden_Blizzard.jpg/500px-Aiden_Blizzard.jpg
3266,Adam,Adam Voges,04-10-1979,m,right-hand-bat,slow-left-arm-orthodox,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,20,31,7,RR,y,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Adam_Voges.jpg/500px-Adam_Voges.jpg
4220,Ryan,Ryan Harris,11-10-1979,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,27,21,3,KXIP,y,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Ryan_Harris_2014_%28cropped%29.jpg/500px-Ryan_Harris_2014_%28cropped%29.jpg
4694,Chris,Chris Rogers,31-08-1977,m,left-hand-bat,legbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,25,0,0,NA,y,
4949,Jake,Jake Fraser-McGurk,11-04-2002,m,right-hand-bat,legbreak,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,7,8,DC,n,https://upload.wikimedia.org/wikipedia/commons/8/89/Jake_Fraser_McGurk_2024_clip.png
5564,Will,Will Pucovski,02-02-1998,m,right-hand-bat,does not bowl,Top Order Batter,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,1,0,0,NA,y,
9906,Nathan,Nathan Ellis,22-09-1994,m,right-hand-bat,right-arm-fast,Medium Pacer,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,10,18,CSK,n,
10113,Tanveer,Tanveer Sangha,26-11-2001,m,right-hand-bat,legbreak,Spinner,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,2,5,NA,n,
10131,Cooper,Cooper Connolly,22-08-2003,m,left-hand-bat,slow-left-arm-orthodox,Batting Allrounder,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png,0,0,0,NA,n,
